Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
456	Webb, Davis	NYG	QB	241.00	221	221		1		
457	Wilson, Nick		RB	241.00	227	227		1		
458	Line, Zach	NO	RB	241.00	219	219		1		
459	Perkins, Paul	NYG	RB	241.00	228	228		1		
460	Hunter, Justin	PIT	WR	241.00	221	221		1		
461	Fumagali, Troy		TE	241.00	221	221		1		
462	Winn, George	IND	RB	241.00	225	225		1		
463	Marshall, Byron	WAS	RB	241.00	223	223		1		
464	Malone, Josh	CIN	WR	241.00	225	225		1		
465	Hundley, Brett	GB	QB	241.00	225	225		1		
466	Green, Tion	IND	RB	241.00	226	226		1		
467	Foster, Robert	BUF	WR	241.00	228	228		1		
468	King, Tavarres	MIN	WR	241.00	224	234		2		
469	Ervin, Tyler	HOU	RB	241.00	231	231		1		
470	Brown, Noah	DAL	WR	241.00	231	231		1		
471	Swoope, Erik	IND	TE	241.00	231	232		2		
472	Heyward-Bey, Darrius	PIT	WR	241.00	232	232		1		
473	Sims, Cam	WAS	WR	241.00	232	232		1		
474	Washington, Dwayne	DET	RB	241.00	231	231		1		
475	Daniel, Chase	CHI	QB	241.00	231	231		1		
476	Aiken, Kamar	PHI	WR	241.00	229	229		1		
477	Gibson, Shelton	PHI	WR	241.00	223	235		2		
478	Sharpe, Tajae	TEN	WR	241.00	230	230		2		
479	Leggett, Jordan	NYJ	TE	241.00	225	236		2		
480	DeValve, Seth	CLE	TE	241.00	233	233		1		
